name;id;sp_attack;sp_defense;speed;ability
Golem1;76;55;65;45;Rock Head
Ponyta1;77;65;65;90;Run Away
Rapidash1;78;80;80;105;Run Away
Slowpoke1;79;40;40;15;Oblivious
Slowbro1;80;130;80;30;Oblivious
Magnemite1;81;95;55;45;Magnet Pull
Magneton1;82;120;70;70;Magnet Pull
Farfetch'd1;83;58;62;60;Keen Eye
Doduo1;84;35;35;75;Run Away
Dodrio1;85;60;60;110;Run Away
Seel1;86;45;70;45;Thick Fat
Dewgong1;87;70;95;70;Thick Fat
Grimer1;88;40;50;25;Stench
Muk1;89;65;100;50;Stench
Shellder1;90;45;25;40;Shell Armor
Cloyster1;91;85;45;70;Shell Armor
Gastly1;92;100;35;80;Levitate
Haunter1;93;115;55;95;Levitate
Gengar1;94;170;95;130;Cursed Body
Onix1;95;30;45;70;Rock Head
Drowzee1;96;43;90;42;Insomnia
Hypno1;97;73;115;67;Insomnia
Krabby1;98;25;25;50;Hyper Cutter
Kingler1;99;50;50;75;Hyper Cutter
Voltorb1;100;55;55;100;Soundproof
Electrode1;101;80;80;150;Soundproof
Exeggcute1;102;60;45;40;Chlorophyll
Exeggutor1;103;125;75;45;Chlorophyll
Cubone1;104;40;50;35;Rock Head
Marowak1;105;50;80;45;Rock Head
Hitmonlee1;106;35;110;87;Limber
Hitmonchan1;107;35;110;76;Keen Eye
Lickitung1;108;60;75;30;Own Tempo
Koffing1;109;60;45;35;Levitate
Weezing1;110;85;70;60;Levitate
Rhyhorn1;111;30;30;25;Lightningrod
Rhydon1;112;45;45;40;Lightningrod
Chansey1;113;35;105;50;Natural Cure
Tangela1;114;100;40;60;Chlorophyll
Kangaskhan1;115;60;100;100;Early Bird
Horsea1;116;70;25;60;Swift Swim
Seadra1;117;95;45;85;Poison Point
Goldeen1;118;35;50;63;Swift Swim
Seaking1;119;65;80;68;Swift Swim
Staryu1;120;70;55;85;Illuminate
Starmie1;121;100;85;115;Illuminate
Mr. Mime1;122;100;120;90;Soundproof
Scyther1;123;55;80;105;Swarm
Jynx1;124;115;95;95;Oblivious
Electabuzz1;125;95;85;105;Static
Magmar1;126;100;85;93;Flame Body
Pinsir1;127;65;90;105;Hyper Cutter
Tauros1;128;40;70;110;Intimidate
Magikarp1;129;15;20;80;Swift Swim
Gyarados1;130;70;130;81;Intimidate
Lapras1;131;85;95;60;Water Absorb
Ditto1;132;48;48;48;Limber
Eevee1;133;45;65;55;Run Away
Vaporeon1;134;110;95;65;Water Absorb
Jolteon1;135;110;95;130;Volt Absorb
Flareon1;136;95;110;65;Flash Fire
Porygon1;137;85;75;40;Trace
Omanyte1;138;90;55;35;Swift Swim
Omastar1;139;115;70;55;Swift Swim
Kabuto1;140;55;45;55;Swift Swim
Kabutops1;141;65;70;80;Swift Swim
Aerodactyl1;142;70;95;150;Rock Head
Snorlax1;143;65;110;30;Immunity
Articuno1;144;95;125;85;Pressure
Zapdos1;145;125;90;100;Pressure
Moltres1;146;125;85;90;Pressure
Dratini1;147;50;50;50;Shed Skin
Dragonair1;148;70;70;70;Shed Skin
Dragonite1;149;100;100;80;Inner Focus
Mewtwo1;150;194;120;140;Pressure
Mew1;151;100;100;100;Synchronize
Chikorita1;152;49;65;45;Overgrow
Bayleef1;153;63;80;60;Overgrow
Meganium1;154;83;100;80;Overgrow
Cyndaquil1;155;60;50;65;Blaze
Quilava1;156;80;65;80;Blaze
Typhlosion1;157;109;85;100;Blaze
Totodile1;158;44;48;43;Torrent
Croconaw1;159;59;63;58;Torrent
Feraligatr1;160;79;83;78;Torrent
Sentret1;161;35;45;20;Run Away
Furret1;162;45;55;90;Run Away
Hoothoot1;163;36;56;50;Insomnia
Noctowl1;164;86;96;70;Insomnia
Ledyba1;165;40;80;55;Swarm
Ledian1;166;55;110;85;Swarm
Spinarak1;167;40;40;30;Swarm
Ariados1;168;60;70;40;Swarm
Crobat1;169;70;80;130;Inner Focus
Chinchou1;170;56;56;67;Volt Absorb
Lanturn1;171;76;76;67;Volt Absorb
Pichu1;172;35;35;60;Static
Cleffa1;173;45;55;15;Cute Charm
Igglybuff1;174;40;20;15;Cute Charm
Togepi1;175;40;65;20;Hustle
Togetic1;176;80;105;40;Hustle
Natu1;177;70;45;70;Synchronize
Xatu1;178;95;70;95;Synchronize
Mareep1;179;65;45;35;Static
Flaaffy1;180;80;60;45;Static
Ampharos1;181;165;110;45;Static
Bellossom1;182;90;100;50;Chlorophyll
Marill1;183;20;50;40;Thick Fat
Azumarill1;184;60;80;50;Thick Fat
Sudowoodo1;185;30;65;30;Sturdy
Politoed1;186;90;100;70;Water Absorb
Hoppip1;187;35;55;50;Chlorophyll
Skiploom1;188;45;65;80;Chlorophyll
Jumpluff1;189;55;95;110;Chlorophyll
Aipom1;190;40;55;85;Run Away
Sunkern1;191;30;30;30;Chlorophyll
Sunflora1;192;105;85;30;Chlorophyll
Yanma1;193;75;45;95;Speed Boost
Wooper1;194;25;25;15;Damp
Quagsire1;195;65;65;35;Damp
Espeon1;196;130;95;110;Synchronize
Umbreon1;197;60;130;65;Synchronize
Murkrow1;198;85;42;91;Insomnia
Slowking1;199;100;110;30;Oblivious
Misdreavus1;200;85;85;85;Levitate
Unown1;201;72;48;48;Levitate
Wobbuffet1;202;33;58;33;Shadow Tag
Girafarig1;203;90;65;85;Inner Focus
Pineco1;204;35;35;15;Sturdy
Forretress1;205;60;60;40;Sturdy
Dunsparce1;206;65;65;45;Serene Grace
Gligar1;207;35;65;85;Hyper Cutter
Steelix1;208;55;95;30;Rock Head
Snubbull1;209;40;40;30;Intimidate
Granbull1;210;60;60;45;Intimidate
Qwilfish1;211;55;55;85;Poison Point
Scizor1;212;65;100;75;Swarm
Shuckle1;213;10;230;5;Sturdy
Heracross1;214;40;105;75;Swarm
Sneasel1;215;35;75;115;Inner Focus
Teddiursa1;216;50;50;40;Pickup
Ursaring1;217;75;75;55;Guts
Slugma1;218;70;40;20;Magma Armor
Magcargo1;219;90;80;30;Magma Armor
Swinub1;220;30;30;50;Oblivious
Piloswine1;221;60;60;50;Oblivious
Corsola1;222;65;95;35;Hustle
Remoraid1;223;65;35;65;Hustle
Octillery1;224;105;75;45;Suction Cups
Delibird1;225;65;45;75;Vital Spirit
Mantine1;226;80;140;70;Swift Swim
Skarmory1;227;40;70;70;Keen Eye
Houndour1;228;80;50;65;Early Bird
Houndoom1;229;140;90;115;Early Bird
Kingdra1;230;95;95;85;Swift Swim
Phanpy1;231;40;40;40;Pickup
Donphan1;232;60;60;50;Sturdy
Stantler1;233;85;65;85;Intimidate
Smeargle1;234;20;45;75;Own Tempo
Tyrogue1;235;35;35;35;Guts
Hitmontop1;236;35;110;70;Intimidate
Smoochum1;237;85;65;65;Oblivious
Elekid1;238;65;55;95;Static
Magby1;239;70;55;83;Flame Body
Miltank1;240;40;70;100;Thick Fat
Blissey1;241;75;135;55;Natural Cure
Raikou1;242;115;100;115;Pressure
Entei1;243;90;75;100;Pressure
Suicune1;244;90;115;85;Pressure
Larvitar1;245;45;50;41;Guts
Pupitar1;246;65;70;51;Shed Skin
Tyranitar1;247;95;120;71;Sand Stream
Lugia1;248;90;154;110;Pressure
Ho-Oh1;249;110;154;90;Pressure
Celebi1;250;100;100;100;Natural Cure
Treecko1;251;65;55;70;Overgrow
Grovyle1;252;85;65;95;Overgrow
Sceptile1;253;145;85;145;Overgrow
Torchic1;254;70;50;45;Blaze
Combusken1;255;85;60;55;Blaze
Blaziken1;256;130;80;100;Blaze
Mudkip1;257;50;50;40;Torrent
Marshtomp1;258;60;70;50;Torrent
Swampert1;259;95;110;70;Torrent
Poochyena1;260;30;30;35;Run Away
Mightyena1;261;60;60;70;Intimidate
Zigzagoon1;262;30;41;60;Pickup
Linoone1;263;50;61;100;Pickup
Wurmple1;264;20;30;20;Shield Dust
Silcoon1;265;25;25;15;Shed Skin
Beautifly1;266;100;50;65;Swarm
Cascoon1;267;25;25;15;Shed Skin
Dustox1;268;50;90;65;Shield Dust
Lotad1;269;40;50;30;Swift Swim
Lombre1;270;60;70;50;Swift Swim
Ludicolo1;271;90;100;70;Swift Swim
Seedot1;272;30;30;30;Chlorophyll
Nuzleaf1;273;60;40;60;Chlorophyll
Shiftry1;274;90;60;80;Chlorophyll
Taillow1;275;30;30;85;Guts
Swellow1;276;75;50;125;Guts
Wingull1;277;55;30;85;Keen Eye
Pelipper1;278;95;70;65;Keen Eye
Ralts1;279;45;35;40;Synchronize
Kirlia1;280;65;55;50;Synchronize
Gardevoir1;281;165;135;100;Synchronize
Surskit1;282;50;52;65;Swift Swim
Masquerain1;283;100;82;80;Intimidate
Shroomish1;284;40;60;35;Effect Spore
Breloom1;285;60;60;70;Effect Spore
Slakoth1;286;35;35;30;Truant
Vigoroth1;287;55;55;90;Vital Spirit
Slaking1;288;95;65;100;Truant
Nincada1;289;30;30;40;Compoundeyes
Ninjask1;290;50;50;160;Speed Boost
Shedinja1;291;30;30;40;Wonder Guard
Whismur1;292;51;23;28;Soundproof
Loudred1;293;71;43;48;Soundproof
Exploud1;294;91;73;68;Soundproof
Makuhita1;295;20;30;25;Thick Fat
Hariyama1;296;40;60;50;Thick Fat
Azurill1;297;20;40;20;Thick Fat
Nosepass1;298;45;90;30;Sturdy
Skitty1;299;35;35;50;Cute Charm
Delcatty1;300;55;55;90;Cute Charm
Sableye1;301;85;115;20;Keen Eye
Mawile1;302;55;95;50;Hyper Cutter
Aron1;303;40;40;30;Sturdy
Lairon1;304;50;50;40;Sturdy
Aggron1;305;60;80;50;Sturdy
Meditite1;306;40;55;60;Pure Power
Medicham1;307;80;85;100;Pure Power
Electrike1;308;65;40;65;Static
Manectric1;309;135;80;135;Static
Plusle1;310;85;75;95;Plus
Minun1;311;75;85;95;Minus
Volbeat1;312;47;85;85;Illuminate
Illumise1;313;73;85;85;Oblivious
Roselia1;314;100;80;65;Natural Cure
Gulpin1;315;43;53;40;Liquid Ooze
Swalot1;316;73;83;55;Liquid Ooze
Carvanha1;317;65;20;65;Rough Skin
Sharpedo1;318;110;65;105;Rough Skin
Wailmer1;319;70;35;60;Water Veil
Wailord1;320;90;45;60;Water Veil
Numel1;321;65;45;35;Oblivious
Camerupt1;322;145;105;20;Magma Armor
Torkoal1;323;85;70;20;White Smoke
Spoink1;324;70;80;60;Thick Fat
Grumpig1;325;90;110;80;Thick Fat
Spinda1;326;60;60;60;Own Tempo
Trapinch1;327;45;45;10;Hyper Cutter
Vibrava1;328;50;50;70;Levitate
Flygon1;329;80;80;100;Levitate
Cacnea1;330;85;40;35;Sand Veil
Cacturne1;331;115;60;55;Sand Veil
Swablu1;332;40;75;50;Natural Cure
Altaria1;333;110;105;80;Natural Cure
Zangoose1;334;60;60;90;Immunity
Seviper1;335;100;60;65;Shed Skin
Lunatone1;336;95;85;70;Levitate
Solrock1;337;55;65;70;Levitate
Barboach1;338;46;41;60;Oblivious
Whiscash1;339;76;71;60;Oblivious
Corphish1;340;50;35;35;Hyper Cutter
Crawdaunt1;341;90;55;55;Hyper Cutter
Baltoy1;342;40;70;55;Levitate
Claydol1;343;70;120;75;Levitate
Lileep1;344;61;87;23;Suction Cups
Cradily1;345;81;107;43;Suction Cups
Anorith1;346;40;50;75;Battle Armor
Armaldo1;347;70;80;45;Battle Armor
Feebas1;348;10;55;80;Swift Swim
Milotic1;349;100;125;81;Marvel Scale
Castform1;350;70;70;70;Forecast
Kecleon1;351;60;120;40;Color Change
Shuppet1;352;63;33;45;Insomnia
Banette1;353;93;83;75;Insomnia
Duskull1;354;30;90;25;Levitate
Dusclops1;355;60;130;25;Pressure
Tropius1;356;72;87;51;Chlorophyll
Chimecho1;357;95;90;65;Levitate
Absol1;358;115;60;115;Pressure
Wynaut1;359;23;48;23;Shadow Tag
Snorunt1;360;50;50;50;Inner Focus
Glalie1;361;120;80;100;Inner Focus
Spheal1;362;55;50;25;Thick Fat
Sealeo1;363;75;70;45;Thick Fat
Walrein1;364;95;90;65;Thick Fat
Clamperl1;365;74;55;32;Shell Armor
Huntail1;366;94;75;52;Swift Swim
Gorebyss1;367;114;75;52;Swift Swim
Relicanth1;368;45;65;55;Swift Swim
Luvdisc1;369;40;65;97;Swift Swim
Bagon1;370;40;30;50;Rock Head
Shelgon1;371;60;50;50;Rock Head
Salamence1;372;120;90;120;Intimidate
Beldum1;373;35;60;30;Clear Body
Metang1;374;55;80;50;Clear Body
Metagross1;375;105;110;110;Clear Body
Regirock1;376;50;100;50;Clear Body
Regice1;377;100;200;50;Clear Body
Registeel1;378;75;150;50;Clear Body
Latias1;379;140;150;110;Levitate
Latios1;380;160;120;110;Levitate
Kyogre1;381;180;160;90;Drizzle
Groudon1;382;150;90;90;Drought
Rayquaza1;383;180;100;115;Air Lock
Jirachi1;384;100;100;100;Serene Grace
Deoxys1;385;95;90;180;Pressure
Turtwig1;386;45;55;31;Overgrow
Grotle1;387;55;65;36;Overgrow
Torterra1;388;75;85;56;Overgrow
Chimchar1;389;58;44;61;Blaze
Monferno1;390;78;52;81;Blaze
Infernape1;391;104;71;108;Blaze
Piplup1;392;61;56;40;Torrent
Prinplup1;393;81;76;50;Torrent
Empoleon1;394;111;101;60;Torrent
Starly1;395;30;30;60;Keen Eye
Staravia1;396;40;40;80;Intimidate
Staraptor1;397;50;60;100;Intimidate
Bidoof1;398;35;40;31;Simple
Bibarel1;399;55;60;71;Simple
Kricketot1;400;25;41;25;Shed Skin
Kricketune1;401;55;51;65;Swarm
Shinx1;402;40;34;45;Rivalry
Luxio1;403;60;49;60;Rivalry
Luxray1;404;95;79;70;Rivalry
Budew1;405;50;70;55;Natural Cure
Roserade1;406;125;105;90;Natural Cure
Cranidos1;407;30;30;58;Mold Breaker
Rampardos1;408;65;50;58;Mold Breaker
Shieldon1;409;42;88;30;Sturdy
Bastiodon1;410;47;138;30;Sturdy
Burmy1;411;29;45;36;Shed Skin
Wormadam1;412;69;95;36;Anticipation
Mothim1;413;94;50;66;Swarm
Combee1;414;30;42;70;Honey Gather
Vespiquen1;415;80;102;40;Pressure
Pachirisu1;416;45;90;95;Run Away
Buizel1;417;60;30;85;Swift Swim
Floatzel1;418;85;50;115;Swift Swim
Cherubi1;419;62;53;35;Chlorophyll
Cherrim1;420;87;78;85;Flower Gift
Shellos1;421;57;62;34;Sticky Hold
Gastrodon1;422;92;82;39;Sticky Hold
Ambipom1;423;60;66;115;Technician
Drifloon1;424;60;44;70;Aftermath
Drifblim1;425;90;54;80;Aftermath
Buneary1;426;44;56;85;Run Away
Lopunny1;427;54;96;135;Cute Charm
Mismagius1;428;105;105;105;Levitate
Honchkrow1;429;105;52;71;Insomnia
Glameow1;430;42;37;85;Limber
Purugly1;431;64;59;112;Thick Fat
Chingling1;432;65;50;45;Levitate
Stunky1;433;41;41;74;Stench
Skuntank1;434;71;61;84;Stench
Bronzor1;435;24;86;23;Levitate
Bronzong1;436;79;116;33;Levitate
Bonsly1;437;10;45;10;Sturdy
Mime Jr.1;438;70;90;60;Soundproof
Happiny1;439;15;65;30;Natural Cure
Chatot1;440;92;42;91;Keen Eye
Spiritomb1;441;92;108;35;Pressure
Gible1;442;40;45;42;Sand Veil
Gabite1;443;50;55;82;Sand Veil
Garchomp1;444;120;95;92;Sand Veil
Munchlax1;445;40;85;5;Pickup
Riolu1;446;35;40;60;Steadfast
Lucario1;447;140;70;112;Steadfast
Hippopotas1;448;38;42;32;Sand Stream
Hippowdon1;449;68;72;47;Sand Stream
Skorupi1;450;30;55;65;Battle Armor
Drapion1;451;60;75;95;Battle Armor
Croagunk1;452;61;40;50;Anticipation
Toxicroak1;453;86;65;85;Anticipation
Carnivine1;454;90;72;46;Levitate
Finneon1;455;49;61;66;Swift Swim
Lumineon1;456;69;86;91;Swift Swim
Mantyke1;457;60;120;50;Swift Swim
Snover1;458;62;60;40;Snow Warning
Abomasnow1;459;132;105;30;Snow Warning
Weavile1;460;45;85;125;Pressure
Magnezone1;461;130;90;60;Magnet Pull
Lickilicky1;462;80;95;50;Own Tempo
Rhyperior1;463;55;55;40;Lightningrod
Tangrowth1;464;110;50;50;Chlorophyll
Electivire1;465;95;85;95;Motor Drive
Magmortar1;466;125;95;83;Flame Body
Togekiss1;467;120;115;80;Hustle
Yanmega1;468;116;56;95;Speed Boost
Leafeon1;469;60;65;95;Leaf Guard
Glaceon1;470;130;95;65;Snow Cloak
Gliscor1;471;45;75;95;Hyper Cutter
Mamoswine1;472;70;60;80;Oblivious
Porygon-Z1;473;135;75;90;Adaptability
Gallade1;474;65;115;110;Steadfast
Probopass1;475;75;150;40;Sturdy
Dusknoir1;476;65;135;45;Pressure
Froslass1;477;80;70;110;Snow Cloak
Rotom1;478;105;107;86;Levitate
Uxie1;479;75;130;95;Levitate
Mesprit1;480;105;105;80;Levitate
Azelf1;481;125;70;115;Levitate
Dialga1;482;150;100;90;Pressure
Palkia1;483;150;120;100;Pressure
Heatran1;484;130;106;77;Flash Fire
Regigigas1;485;80;110;100;Slow Start
Giratina1;486;120;100;90;Pressure
Cresselia1;487;75;130;85;Levitate
Phione1;488;80;80;80;Hydration
Manaphy1;489;100;100;100;Hydration
Darkrai1;490;135;90;125;Bad Dreams
Shaymin1;491;120;75;127;Natural Cure
Arceus1;492;120;120;120;Multitype
Victini1;493;100;100;100;Victory Star
Snivy1;494;45;55;63;Overgrow
Servine1;495;60;75;83;Overgrow
Serperior1;496;75;95;113;Overgrow
Tepig1;497;45;45;45;Blaze
Pignite1;498;70;55;55;Blaze
Emboar1;499;100;65;65;Blaze
Oshawott1;500;63;45;45;Torrent
Dewott1;501;83;60;60;Torrent
Samurott1;502;108;70;70;Torrent
Patrat1;503;35;39;42;Run Away
Watchog1;504;60;69;77;Illuminate
Lillipup1;505;25;45;55;Vital Spirit
Herdier1;506;35;65;60;Intimidate
Stoutland1;507;45;90;80;Intimidate
Purrloin1;508;50;37;66;Limber
Liepard1;509;88;50;106;Limber
Pansage1;510;53;48;64;Gluttony
Simisage1;511;98;63;101;Gluttony
Pansear1;512;53;48;64;Gluttony
Simisear1;513;98;63;101;Gluttony
Panpour1;514;53;48;64;Gluttony
Simipour1;515;98;63;101;Gluttony
Munna1;516;67;55;24;Forewarn
Musharna1;517;107;95;29;Forewarn
Pidove1;518;36;30;43;Big Pecks
Tranquill1;519;50;42;65;Big Pecks
Unfezant1;520;65;55;93;Big Pecks
Blitzle1;521;50;32;76;Lightningrod
Zebstrika1;522;80;63;116;Lightningrod
Roggenrola1;523;25;25;15;Sturdy
Boldore1;524;50;40;20;Sturdy
Gigalith1;525;60;80;25;Sturdy
Woobat1;526;55;43;72;Unaware
Swoobat1;527;77;55;114;Unaware
Drilbur1;528;30;45;68;Sand Rush
Excadrill1;529;50;65;88;Sand Rush
Audino1;530;80;126;50;Healer
Timburr1;531;25;35;35;Guts
Gurdurr1;532;40;50;40;Guts
Conkeldurr1;533;55;65;45;Guts
Tympole1;534;50;40;64;Swift Swim
Palpitoad1;535;65;55;69;Swift Swim
Seismitoad1;536;85;75;74;Swift Swim
Throh1;537;30;85;45;Guts
Sawk1;538;30;75;85;Sturdy
Sewaddle1;539;40;60;42;Swarm
Swadloon1;540;50;80;42;Leaf Guard
Leavanny1;541;70;80;92;Swarm
Venipede1;542;30;39;57;Poison Point
Whirlipede1;543;40;79;47;Poison Point
Scolipede1;544;55;69;112;Poison Point
Cottonee1;545;37;50;66;Prankster
Whimsicott1;546;77;75;116;Prankster
Petilil1;547;70;50;30;Chlorophyll
Lilligant1;548;110;75;90;Chlorophyll
Basculin1;549;80;55;98;Reckless
Sandile1;550;35;35;65;Intimidate
Krokorok1;551;45;45;74;Intimidate
Krookodile1;552;65;70;92;Intimidate
Darumaka1;553;15;45;50;Hustle
Darmanitan1;554;140;105;55;Sheer Force
Maractus1;555;106;67;60;Water Absorb
Dwebble1;556;35;35;55;Sturdy
Crustle1;557;65;75;45;Sturdy
Scraggy1;558;35;70;48;Shed Skin
Scrafty1;559;45;115;58;Shed Skin
Sigilyph1;560;103;80;97;Wonder Skin 
Yamask1;561;55;65;30;Mummy
Cofagrigus1;562;95;105;30;Mummy
Tirtouga1;563;53;45;22;Solid Rock
Carracosta1;564;83;65;32;Solid Rock
Archen1;565;74;45;70;Defeatist
Archeops1;566;112;65;110;Defeatist
Trubbish1;567;40;62;65;Stench
Garbodor1;568;60;82;75;Stench
Zorua1;569;80;40;65;Illusion
Zoroark1;570;120;60;105;Illusion
Minccino1;571;40;40;75;Cute Charm
Cinccino1;572;65;60;115;Cute Charm
Gothita1;573;55;65;45;Frisk
Gothorita1;574;75;85;55;Frisk
Gothitelle1;575;95;110;65;Frisk
Solosis1;576;105;50;20;Overcoat
Duosion1;577;125;60;30;Overcoat
Reuniclus1;578;125;85;30;Overcoat
Ducklett1;579;44;50;55;Keen Eye
Swanna1;580;87;63;98;Keen Eye
Vanillite1;581;65;60;44;Ice Body
Vanillish1;582;80;75;59;Ice Body
Vanilluxe1;583;110;95;79;Ice Body
Deerling1;584;40;50;75;Chlorophyll
Sawsbuck1;585;60;70;95;Chlorophyll
Emolga1;586;75;60;103;Static
Karrablast1;587;40;45;60;Swarm
Escavalier1;588;60;105;20;Swarm
Foongus1;589;55;55;15;Effect Spore
Amoonguss1;590;85;80;30;Effect Spore
Frillish1;591;65;85;40;Water Absorb
Jellicent1;592;85;105;60;Water Absorb
Alomomola1;593;40;45;65;Healer
Joltik1;594;57;50;65;Compoundeyes
Galvantula1;595;97;60;108;Compoundeyes
Ferroseed1;596;24;86;10;Iron Barbs
Ferrothorn1;597;54;116;20;Iron Barbs
Klink1;598;45;60;30;Plus
Klang1;599;70;85;50;Plus
Klinklang1;600;70;85;90;Plus
Tynamo1;601;45;40;60;Levitate
Eelektrik1;602;75;70;40;Levitate
Eelektross1;603;105;80;50;Levitate
Elgyem1;604;85;55;30;Telepathy
Beheeyem1;605;125;95;40;Telepathy
Litwick1;606;65;55;20;Flash Fire
Lampent1;607;95;60;55;Flash Fire
Chandelure1;608;145;90;80;Flash Fire
Axew1;609;30;40;57;Rivalry
Fraxure1;610;40;50;67;Rivalry
Haxorus1;611;60;70;97;Rivalry
Cubchoo1;612;60;40;40;Snow Cloak
Beartic1;613;70;80;50;Snow Cloak
Cryogonal1;614;95;135;105;Levitate
Shelmet1;615;40;65;25;Hydration
Accelgor1;616;100;60;145;Hydration
Stunfisk1;617;81;99;32;Static
Mienfoo1;618;55;50;65;Inner Focus
Mienshao1;619;95;60;105;Inner Focus
Druddigon1;620;60;90;48;Rough Skin
Golett1;621;35;50;35;Iron Fist
Golurk1;622;55;80;55;Iron Fist
Pawniard1;623;40;40;60;Defiant
Bisharp1;624;60;70;70;Defiant
Bouffalant1;625;40;95;55;Reckless
Rufflet1;626;37;50;60;Keen Eye
Braviary1;627;57;75;80;Keen Eye
Vullaby1;628;45;65;60;Big Pecks
Mandibuzz1;629;55;95;80;Big Pecks
Heatmor1;630;105;66;65;Gluttony
Durant1;631;48;48;109;Swarm
Deino1;632;45;50;38;Hustle
Zweilous1;633;65;70;58;Hustle
Bulbasaur2;634;65;65;45;Overgrow
Ivysaur2;635;80;80;60;Overgrow
Venusaur2;636;122;120;80;Overgrow
Charmander2;637;60;50;65;Blaze
Charmeleon2;638;80;65;80;Blaze
Charizard2;639;159;115;100;Blaze
Squirtle2;640;50;64;43;Torrent
Wartortle2;641;65;80;58;Torrent
Blastoise2;642;135;115;78;Torrent
Caterpie2;643;20;20;45;Shield Dust
Metapod2;644;25;25;30;Shed Skin
Butterfree2;645;90;80;70;Compoundeyes
Weedle2;646;20;20;50;Shield Dust
Kakuna2;647;25;25;35;Shed Skin
Beedrill2;648;15;80;145;Swarm
Pidgey2;649;35;35;56;Keen Eye
Pidgeotto2;650;50;50;71;Keen Eye
Pidgeot2;651;135;80;121;Keen Eye
Rattata2;652;25;35;72;Run Away
Raticate2;653;40;80;77;Run Away
Spearow2;654;31;31;70;Keen Eye
Fearow2;655;61;61;100;Keen Eye
Ekans2;656;40;54;55;Intimidate
Arbok2;657;65;79;80;Intimidate
Pikachu2;658;50;50;90;Static
Raichu2;659;95;85;110;Static
Sandshrew2;660;10;35;40;Sand Veil
Sandslash2;661;25;65;65;Sand Veil
Nidoran-h2;662;40;40;41;Poison Point
Nidorina2;663;55;55;56;Poison Point
Nidoqueen2;664;75;85;76;Poison Point
Nidoran-m2;665;40;40;50;Poison Point
Nidorino2;666;55;55;65;Poison Point
Nidoking2;667;85;75;85;Poison Point
Clefairy2;668;60;65;35;Cute Charm
Clefable2;669;95;90;60;Cute Charm
Vulpix2;670;50;65;65;Flash Fire
